序号,职位,公司名称,公司地点,公司性质,薪资,学历要求,工作经验,公司规模,公司福利,发布时间
304,JAVA  高级工程师,深圳市佑尔安科技有限公司,深圳-宝安区,民营公司,1.5-2万/月,大专,5-7年经验,少于50人,,11-21
305,Java高级开发工程师,武汉开道万信息技术有限公司,武汉-洪山区,民营公司,1-1.5万/月,大专,3-4年经验,少于50人,五险一金 交通补贴 餐饮补贴 绩效奖金 年终奖金 弹性工作,11-21
306,中高级Java开发,深圳市金标达管理顾问有限公司,深圳-南山区,民营公司,1.5-2万/月,本科,3-4年经验,50-150人,五险一金 专业培训 全勤奖 周末双休 年终奖金 绩效奖金 岗位晋升 员工旅游 补充医疗保险 餐饮补贴,11-21
307,Java开发工程师,河北微领网络科技有限公司,邯郸,民营公司,4-8千/月,大专,2年经验,50-150人,员工旅游 绩效奖金 年终奖金 弹性工作,11-21
308,Java开发工程师,河北鹏东电子科技有限公司,石家庄-长安区,民营公司,0.5-1万/月,大专,2年经验,50-150人,年终奖金 弹性工作 全勤奖 创业公司 五险,11-21
309,Java开发,信必优(深圳)信息技术有限公司,广州-越秀区,外资（欧美）,1.6-2万/月,本科,5-7年经验,1000-5000人,,11-21
310,Java开发工程师,苏州东安岩芯能源科技股份有限公司,昆山,民营公司,1-1.2万/月,本科,3-4年经验,50-150人,五险一金 交通补贴 餐饮补贴 员工旅游 专业培训 通讯补贴 年终奖金 绩效奖金,11-21
311,Java高级软件工程师,上海智聆信息技术有限公司,无锡-无锡新区,民营公司,1.8-2.5万/月,本科,8-9年经验,少于50人,五险一金 员工旅游 年终奖金 绩效奖金 弹性工作 定期体检,11-21
312,高薪急招java工程师,上海汉朔信息科技有限公司,上海,民营公司,1.2-2万/月,大专,无需经验,500-1000人,,11-21
313,Java软件开发,好多车联（深圳）科技有限公司,西安,民营公司,0.6-1.2万/月,本科,1年经验,,,11-21
314,Java中级开发工程师,上海媛福达贸易有限公司,上海-静安区,民营公司,1.1-2万/月,大专,3-4年经验,500-1000人,五险一金 交通补贴 餐饮补贴,11-21
315,JAVA中级开发工程师,广州芯享家信息技术有限公司,广州-天河区,民营公司,1-1.5万/月,大专,2年经验,150-500人,五险一金 周末双休 带薪年假 餐饮补贴 绩效奖金 全勤奖 包吃,11-21
316,Java程序员,深圳嘉里盐田港物流有限公司,深圳,合资,0.8-1万/月,大专,1年经验,,,11-21
317,后台开发工程师（JAVA）,上海鋆石智能科技有限公司,上海-浦东新区,民营公司,0.5-1万/月,大专,1年经验,少于50人,年终奖金 绩效奖金 包住 五险,11-21
318,Java高级开发工程师,交邦电气科技（江苏）有限公司,南京-建邺区,合资,0.8-1万/月,本科,5-7年经验,少于50人,五险一金 交通补贴 餐饮补贴 年终奖金 绩效奖金 定期体检,11-21
319,Java开发工程师(21),上海复深蓝软件股份有限公司,上海-浦东新区,上市公司,2-2.5万/月,大专,3-4年经验,1000-5000人,做五休二 五险一金 节日福利 带薪年假 专业培训 年终奖金 交通补贴,11-21
320,JAVA中级/高级开发工程师,安徽逸路安科技股份有限公司,合肥,民营公司,0.7-1.4万/月,大专,2年经验,,,11-21
321,Java开发经理,广东智硕互联科技有限公司,东莞-樟木头镇,民营公司,1.3-2万/月,本科,5-7年经验,少于50人,五险一金 年终奖金 专业培训 员工旅游,11-21
322,Java 高级开发工程师,仁弥（杭州）网络科技有限公司,杭州-萧山区,民营公司,2.5-3万/月,本科,3-4年经验,,,11-21
323,Java开发工程师,广州云链科技有限公司,武汉-汉阳区,民营公司,1.4-2.5万/月,大专,3-4年经验,150-500人,五险一金 周末双休 绩效奖金,11-21
324,Java开发工程师,恩士迅信息科技（上海）有限公司,上海-浦东新区,合资,1-1.8万/月,本科,2年经验,150-500人,,11-21
325,Java开发工程师,河北能瑞科技有限公司武汉研发中心,武汉-东西湖区,民营公司,0.7-1.1万/月,大专,2年经验,50-150人,员工旅游 年终奖金 定期体检 五险,11-21
326,Java开发工程师,武汉吉十软件有限公司,武汉-江夏区,民营公司,1-1.8万/月,大专,3-4年经验,150-500人,包吃包住 年终奖金 绩效奖金 员工旅游 五险一金 专业培训,11-21
327,Java工程师,北京燃烽医药有限责任公司,北京-丰台区,民营公司,0.8-1.3万/月,大专,2年经验,50-150人,周末双休 专业培训 做五休二 五险一金 节日福利,11-21
328,Java高级开发工程师,郑州华腾智能科技有限公司,郑州-经开区,民营公司,1-1.5万/月,大专,5-7年经验,50-150人,,11-21
329,Java高级开发工程师,上海署文网络科技有限公司,上海-浦东新区,民营公司,1.5-2.5万/月,本科,3-4年经验,少于50人,,11-21
330,Java开发工程师,浙江真游科技有限公司,杭州-拱墅区,民营公司,6-8千/月,本科,1年经验,少于50人,周末双休 五险一金 员工旅游 弹性工作 节日福利 带薪年假 定期团建 定期体检,11-21
331,Java开发工程师,湖南九云教育科技有限公司,吉安,民营公司,6-8千/月,本科,3-4年经验,150-500人,五险一金 专业培训 绩效奖金 年终奖金 周末双休 员工旅游 做五休二 带薪年假,11-21
332,JAVA开发工程师,武汉小猿科技有限公司,武汉-东湖新技术产业开发区,民营公司,0.5-1万/月,大专,2年经验,少于50人,五险一金 绩效奖金 年终奖金 弹性工作,11-21
333,Java工程师,苏州晟成光伏设备有限公司,苏州,上市公司,1-1.5万/月,本科,2年经验,500-1000人,做五休二 周末双休 带薪年假 五险一金 高温补贴 加班补贴 绩效奖金 全勤奖 节日福利,11-21
334,Java开发工程师,上海清裔钲商务咨询有限公司,上海-浦东新区,合资,1-2万/月,本科,2年经验,少于50人,五险一金 补充公积金 员工旅游 绩效奖金 年终奖金 弹性工作,11-21
335,JAVA后端开发,上海姚际信息科技有限公司,上海-徐汇区,民营公司,1.5-3万/月,本科,2年经验,,五险一金 员工旅游 绩效奖金 年终奖金 弹性工作 定期体检 定制中晚餐 免费工作餐 婚育礼金 生日红包,11-21
336,java后端开发工程师,翰威通信有限公司,上海-普陀区,民营公司,1.5-2万/月,大专,2年经验,150-500人,五险一金 专业培训 带薪年假 周末双休 餐饮补贴 绩效奖金 弹性工作,11-21
337,中高级Java,三盟科技股份有限公司,杭州,上市公司,0.8-1.5万/月,本科,2年经验,500-1000人,五险一金 年终奖金 绩效奖金 带薪年假 周末双休 节日福利,11-21
338,Java开发工程师,江苏湃能电力科技有限公司,南京-建邺区,民营公司,1.3-1.6万/月,大专,5-7年经验,少于50人,,11-21
339,Java开发工程师,江苏水迅通信息科技有限公司,南京-浦口区,民营公司,0.8-1.5万/月,本科,3-4年经验,少于50人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 股票期权 定期体检,11-21
340,Java中级开发工程师,浙江一山智慧医疗研究有限公司,杭州-余杭区,民营公司,1.5-2万/月,本科,3-4年经验,5000-10000人,五险一金 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检 周末双休 朝九晚六 股票期权,11-21
341,Java开发工程师,广州泰迪熊科技集团有限公司,大连-高新园区,民营公司,4-7千/月,大专,1年经验,50-150人,带薪年假 购买社保 周末双休 绩效奖金,11-21
342,Java开发工程师,南京欣威视通信息科技股份有限公司,南京-雨花台区,上市公司,1.5-2万/月,本科,1年经验,50-150人,五险一金 员工旅游 交通补贴 餐饮补贴 年终奖金 定期体检 专业培训,11-21
343,Java开发工程师,上海彩虹鱼海洋科技股份有限公司,上海-浦东新区,民营公司,1-2万/月,本科,2年经验,50-150人,五险一金 免费班车 员工旅游 专业培训 出国机会 绩效奖金 年终奖金 弹性工作 股票期权,11-21
344,java高级开发工程师,上海东普信息科技有限公司,上海-青浦区,民营公司,2-3万/月,本科,5-7年经验,500-1000人,五险一金 餐饮补贴 绩效奖金 节日福利 带薪年假 免费班车,11-21
345,Java开发工程师,上海臻鼎健康科技有限公司,贵阳-观山湖区,民营公司,0.8-1万/月,本科,3-4年经验,50-150人,五险一金 弹性工作 员工旅游 出国机会 绩效奖金 年终奖金 定期体检,11-21
346,Java开发工程师,陕西中爆安全网科技有限公司,青岛-市北区,上市公司,0.8-1.5万/月,大专,1年经验,50-150人,周末双休 带薪年假 五险一金 全勤奖 节日福利 加班补贴 年度体检,11-21
347,Java软件工程师,郑州众力信息技术有限公司,郑州-中原区,民营公司,4-6千/月,本科,1年经验,少于50人,五险一金 定期体检,11-21
348,Java初级开发工程师,沈阳金创想系统集成有限公司,沈阳,民营公司,3-4.5千/月,本科,2年经验,50-150人,交通补贴 通讯补贴 餐饮补贴,11-21
349,Java开发实习生,杭州友聚锐杰信息技术有限公司,杭州-西湖区,民营公司,0.6-1万/月,大专,无需经验,,,11-21
350,全栈式JAVA开发工程师-证券业务,上海荣正投资咨询股份有限公司,上海-长宁区,民营公司,2-3.5万/月,本科,3-4年经验,50-150人,,11-21
351,JAVA工程师,深圳市博爱网络有限公司,深圳-罗湖区,民营公司,1-1.5万/月,大专,3-4年经验,150-500人,五险一金 定期体检 绩效奖金 弹性工作,11-21
352,Java开发工程师,成都奥博克信息系统有限公司,成都,民营公司,0.8-1万/月,本科,2年经验,50-150人,五险一金 餐饮补贴 绩效奖金,11-21
353,Java开发工程师（双休+非外包）,电讯盈科企业方案,广州,外资（非欧美）,0.9-1.3万/月,本科,2年经验,10000人以上,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,11-21
354,JAVA开发工程师,北京优飞软件科技有限公司,北京-顺义区,民营公司,1.5-2万/月,大专,3-4年经验,少于50人,五险一金 绩效奖金 专业培训 定期体检 12天带薪年假 定期团建 过年放假12天,11-21
355,Java开发工程师,洛阳昇凯软件科技有限公司,洛阳,民营公司,4-8千/月,大专,3-4年经验,少于50人,,11-21
356,JAVA后端开发岗,浙江省北大信息技术高等研究院,杭州,民营公司,1.5-2万/月,硕士,无需经验,,,11-21
357,Java开发工程师,深圳中科软科技信息系统有限公司,深圳-罗湖区,国企,1.1-1.4万/月,大专,2年经验,5000-10000人,五险一金 员工旅游 年终奖金 补充医疗保险,11-21
358,Java开发工程师,山东用新电子科技有限公司,济南-天桥区,民营公司,1-1.5万/月,本科,1年经验,少于50人,包吃 五险 弹性工作 带薪年假 节日福利 绩效奖金 交通补贴 通讯补贴 专业培训 餐饮补贴,11-21
359,JAVA工程师,河南省通信工程局有限责任公司,郑州-金水区,民营公司,0.8-1.2万/月,本科,3-4年经验,10000人以上,周末双休 节日福利 五险一金,11-21
360,Java开发工程师,环保桥（上海）环境技术有限公司,上海-浦东新区,民营公司,1.5-2万/月,本科,3-4年经验,少于50人,五险一金 补充医疗保险 员工旅游 交通补贴 弹性工作 年终奖金 定期体检 周末双休 节日福利,11-21
361,JAVA开发助理（可应届）,德玛（云南）科技有限公司,昆明-官渡区,民营公司,0.8-1万/月,高中,无需经验,少于50人,五险一金 年终奖金 弹性工作 员工旅游,11-21
362,Java开发工程师,武汉市创平科技有限公司,武汉-洪山区,民营公司,0.9-1.3万/月,本科,3-4年经验,50-150人,五险一金 年底双薪 绩效奖金 定期体检 节日福利 全勤奖 定期团建 带薪年假,11-21
363,Java高级开发工程师,武汉理盈信息科技有限公司,武汉-东湖新技术产业开发区,民营公司,1-1.5万/月,本科,5-7年经验,少于50人,,11-21
364,Java初级开发工程师（可适应出差）,大连盈灿科技股份有限公司,大连-高新园区,民营公司,6-8千/月,本科,2年经验,少于50人,五险一金 交通补贴 员工旅游 年终奖金,11-21
365,Java中高级开发工程师（研发部门）,武汉普罗格集成科技有限公司,武汉-硚口区,民营公司,1.2-2万/月,本科,3-4年经验,500-1000人,五险一金 员工旅游 交通补贴 绩效奖金 年终奖金 专业培训 餐饮补贴 定期体检 通讯补贴,11-21
366,Java开发工程师,上海用正医药科技有限公司,上海-徐汇区,民营公司,2-3万/月,大专,3-4年经验,150-500人,周末双休 带薪年假 五险一金 节日福利 交通补贴 餐饮补贴 通讯补贴 年终奖金 定期体检,11-21
367,Java开发工程师,广州市博颖信息科技有限公司,广州,民营公司,15-20万/年,大专,3-4年经验,50-150人,社保 周末双休 带薪年假 绩效奖金 年终奖金,11-21
368,java后端开发工程师,南京盛航海运股份有限公司,南京-栖霞区,上市公司,1-1.5万/月,本科,3-4年经验,150-500人,做五休二 周末双休 带薪年假 五险一金 节日福利 通讯补贴,11-21
369,Java高级开发工程师,飞鹤乳业集团上海电商事业部,上海-杨浦区,民营公司,1.5-2万/月,本科,3-4年经验,5000-10000人,五险一金 补充公积金 员工旅游 绩效奖金 年终奖金 弹性工作 交通补贴 餐饮补贴 定期体检 带薪年假,11-21
370,java软件开发工程师-北京,大连铭信科技发展有限公司,北京-东城区,民营公司,1.2-2.4万/月,本科,3-4年经验,50-150人,五险一金 绩效奖金 年终奖金,11-21
371,Java软件开发,浙江天正信息科技有限公司,江门-蓬江区,国企,0.8-1万/月,本科,1年经验,50-150人,五险一金 专业培训 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检,11-21
372,Java中级开发工程师,浙江陀曼控股集团有限公司,杭州-滨江区,民营公司,1.3-2.2万/月,本科,5-7年经验,150-500人,五险一金 年终奖金 绩效奖金 补充医疗保险 定期体检 通讯补贴 员工旅游 餐饮补贴 开车油贴,11-21
373,Java开发工程师,浙江省国土勘测规划有限公司,杭州-余杭区,事业单位,1.8-2.5万/月,硕士,无需经验,150-500人,五险一金 员工旅游 餐饮补贴 专业培训 定期体检 年终奖金,11-21
374,java开发工程师（武汉）,深圳市腾讯计算机系统有限公司,武汉,民营公司,3-4万/月,本科,5-7年经验,,,11-21
375,Java开发工程师,广东货多多物流科技股份有限公司,广州-黄埔区,民营公司,0.9-1.5万/月,本科,3-4年经验,少于50人,五险一金 绩效奖金 带薪年假 节日福利 大小周,11-21
376,Java开发工程师,无锡高运金融信息服务有限公司,无锡,合资,1-2万/月,本科,3-4年经验,少于50人,五险一金 绩效奖金 年终奖金 餐饮补贴 员工旅游 定期体检 节日福利 高温补贴,11-21
377,JAVA软件工程师,上海红瓦信息科技有限公司,上海-宝山区,民营公司,1-1.5万/月,大专,3-4年经验,少于50人,绩效奖金 年终奖金 弹性工作 员工旅游 下午茶 每月团建一次 专业培训 做五休二,11-21
378,Java开发工程师,云驼（武汉）网络科技有限公司,武汉-硚口区,民营公司,0.9-1.5万/月,本科,3-4年经验,50-150人,五险 餐饮补贴 节日福利 团建活动,11-21
379,Java开发工程师,博瑞利安信息科技（上海）有限公司,南京-江宁区,民营公司,0.6-1万/月,大专,1年经验,少于50人,,11-21
380,Java开发工程师,深圳市迈科龙电子有限公司,深圳,民营公司,1.5-2万/月,本科,2年经验,,,11-21
381,JAVA开发工程师,筑泰（深圳）科创控股有限公司,深圳,民营公司,1.5-2万/月,本科,2年经验,,,11-21
382,java开发工程师  自研 双休,深圳信通支付科技有限公司,深圳,民营公司,1.5-2.5万/月,中技,3-4年经验,,,11-21
383,JAVA开发工程师（微服务方向）,深圳市中视典数字科技有限公司,深圳,民营公司,1-1.5万/月,本科,2年经验,,,11-21
384,Java软件开发工程师（后端）,上海倍通医药科技咨询有限公司,大连-沙河口区,民营公司,1.2-2万/月,本科,2年经验,1000-5000人,五险一金 员工旅游 专业培训 绩效奖金 弹性工作 定期体检,11-21
385,高级Java开发工程师,上海东尚信息科技股份有限公司,上海,民营公司,1.5-2万/月,本科,3-4年经验,,,11-21
386,Java软件开发工程师,深圳市弘长科技有限公司,深圳,民营公司,6-8千/月,本科,无需经验,,,11-21
387,Java开发工程师,展融（上海）网络服务有限公司,上海-浦东新区,民营公司,1-1.5万/月,本科,1年经验,少于50人,双休 享法定假日休 五险一金 股权激励,11-21
388,JAVA开发工程师,南京维科通信有限公司,南京-栖霞区,民营公司,1.2-1.8万/月,本科,3-4年经验,少于50人,五险一金 年底双薪 年终奖金 绩效奖金 项目奖金 周末双休 交通补贴 餐饮补贴 通讯补贴,11-21
389,Java开发工程师,上海博愚科技有限公司,成都-武侯区,民营公司,0.6-1.2万/月,本科,3-4年经验,50-150人,五险一金 员工旅游 绩效奖金,11-21
390,Java开发工程师+周末双休/13薪,深圳市乐有家控股集团有限公司,长沙-岳麓区,民营公司,6-8千/月,大专,2年经验,,五险一金 餐饮补贴 交通补贴 弹性工作 专业培训 绩效奖金 节日福利 月休四天,11-21
391,Java开发工程师,武汉字节穿梭科技有限公司,武汉-江夏区,创业公司,0.8-1.1万/月,大专,3-4年经验,少于50人,绩效奖金 五险一金 不定时团建 过节福利,11-21
392,Java项目经理,淘礼礼贸易（深圳）有限公司,深圳-南山区,民营公司,1.6-2.2万/月,本科,3-4年经验,50-150人,弹性工作 五险一金 节日福利 加班补贴,11-21
393,Java开发工程师,云南南天电子信息产业股份有限公司,昆明-盘龙区,国企,0.6-1.2万/月,本科,2年经验,1000-5000人,五险一金 定期体检 年终奖金 绩效奖金 专业培训 免费班车,11-21
394,SYY301-Java研发工程师（成都）,长园深瑞继保自动化有限公司,成都,民营公司,1-2万/月,本科,3-4年经验,,,11-21
395,Java工程师（高级）,深圳市比希科技有限公司,深圳-福田区,民营公司,1.5-2万/月,大专,5-7年经验,50-150人,,11-21
396,软件工程师（java方向）,苏州卓曜智能科技有限公司,昆山,民营公司,0.8-1.6万/月,本科,2年经验,少于50人,五险一金 弹性工作 年终奖金 绩效奖金 补充公积金,11-21
397,JAVA 软件开发工程师,上海宝信软件股份有限公司海盐分公司,上海-宝山区,上市公司,8-15万/年,本科,1年经验,50-150人,五险一金 餐饮补贴 高温补贴 年终奖金 定期体检,11-21
398,Java开发工程师（中级）,广州摩赛网络技术有限公司,广州-天河区,民营公司,0.8-1.5万/月,大专,3-4年经验,少于50人,五险一金 年终奖金 弹性工作 定期体检 员工旅游 带薪年假 节日福利 餐饮补贴 零食下午茶,11-21
399,Java开发工程师,衡哲信息科技（武汉）有限公司,武汉-洪山区,民营公司,0.9-1.5万/月,大专,3-4年经验,1000-5000人,五险一金 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金,11-21
400,Java开发工程师,广东养方堂中医科技有限公司,广州-天河区,民营公司,0.8-1.2万/月,本科,2年经验,少于50人,五险一金 绩效奖金 专业培训 交通方便 员工旅游,11-21
401,Java,重庆软维科技有限公司,成都-武侯区,民营公司,1-1.5万/月,大专,3-4年经验,150-500人,五险一金 年终奖金 定期体检,11-21
402,Java开发经理,浙江杉工智能科技有限公司,宁波-海曙区,民营公司,1.5-2万/月,本科,10年以上经验,50-150人,五险一金 年终奖金 交通补贴 餐饮补贴 周末双休,11-21
403,Java开发工程师,深圳市梦网物联科技发展有限公司,深圳,民营公司,1-1.5万/月,大专,2年经验,,,11-21
404,java开发助理,常州潼马软件科技有限公司,深圳-宝安区,民营公司,5.5-8.5千/月,大专,无需经验,少于50人,五险一金 免费班车 员工旅游 出国机会 年终奖金 绩效奖金 股票期权 定期体检 周末双休 包吃包住,11-21
405,Java开发工程师,天津鑫海宇宏科技发展有限公司,天津-河西区,民营公司,0.5-1万/月,本科,1年经验,少于50人,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金,11-21
406,Java高级开发工程师,鸿宇数据科技（上海）有限公司,上海-徐汇区,民营公司,1.8-2.5万/月,本科,5-7年经验,少于50人,,11-21
407,急聘Java后端开发工程师+双休,四川三维系统工程有限责任公司,成都-青羊区,民营公司,0.7-1.5万/月,大专,2年经验,少于50人,五险一金 周末双休,11-21
408,JAVA高级软件开发工程师,苏州嘉展科技有限公司,苏州-工业园区,外资（非欧美）,1.5-2.5万/月,大专,5-7年经验,50-150人,做五休二 周末双休 带薪年假 五险一金 节日福利 专业培训 通讯补贴 交通补贴 年终奖金,11-21
409,Java开发工程师,广州康铭信息科技有限公司,广州-海珠区,民营公司,1-1.5万/月,本科,3-4年经验,少于50人,五险一金 员工旅游 年终奖金 股票期权,11-21
410,Java高级开发工程师,天津中桓荣泰科技发展有限公司,天津-南开区,民营公司,1-1.5万/月,大专,2年经验,50-150人,五险一金 员工旅游 年终奖金 定期体检 通讯补贴 餐饮补贴,11-21
411,初级Java开发工程师,上海朝讯网络科技发展有限公司,北京-朝阳区,民营公司,0.8-1万/月,本科,1年经验,50-150人,员工旅游 定期体检 五险一金 做五休二 节日福利 生日福利 带薪年假 绩效奖金 专业培训 弹性工作,11-21
412,Java开发工程师,四特酒有限责任公司,江西省,合资,1-1.5万/月,本科,3-4年经验,1000-5000人,节日福利 带薪年假 高温补贴 专业培训 年终奖金,11-21
413,Java开发工程师,昱瑾网络科技（上海）有限公司,上海-浦东新区,民营公司,1.5-3万/月,大专,5-7年经验,50-150人,带薪年假 五险一金 绩效奖金 全勤奖 节日福利 专业培训,11-21
414,Java开发工程师,大连华夏腾飞科技有限公司,大连,民营公司,5-9.9千/月,大专,2年经验,50-150人,五险一金 补充医疗保险 补充公积金 免费班车 员工旅游 交通补贴 出国机会 绩效奖金 年终奖金,11-21
415,Java高级开发工程师,上海宝钿科技产业发展有限公司,上海-宝山区,民营公司,2-2.5万/月,大专,5-7年经验,少于50人,五险一金 带薪年假 做五休二 年终奖金,11-21
416,后端开发工程师（Java或.net）,纳思达科技（大连）有限公司,大连,外资（非欧美）,1.5-2万/月,本科,3-4年经验,,,11-21
417,Java开发工程师,大连金慧融智科技股份有限公司,大连,民营公司,1-1.5万/月,本科,3-4年经验,,,11-21
418,高级java开发工程师,东软集团（大连）有限公司,大连,上市公司,0.8-1万/月,本科,2年经验,,,11-21
419,Java开发工程师,武汉高达软件系统有限公司,武汉-武昌区,民营公司,0.8-1.3万/月,大专,2年经验,50-150人,五险一金 专业培训 通讯补贴 餐饮补贴 交通补贴 节日福利 定期体检 员工旅游 年终奖金 高温补贴,11-21
420,Java开发经理 (MJ000025),广州中大凯旋电子科技有限公司,广州,民营公司,2-3.5万/月,大专,5-7年经验,150-500人,腾讯投资 年终奖金 绩效奖金 加班津贴 交通补贴 餐饮补贴 五险一金 股票期权,11-21
421,Java开发工程师,江苏耐维思通科技股份有限公司,北京-海淀区,上市公司,0.8-1.6万/月,大专,2年经验,50-150人,五险一金 餐饮补贴 弹性工作 补充医疗保险 年终奖金,11-21
422,Java工程师,青岛海洋慧谷大数据科技有限公司,青岛-李沧区,民营公司,6-8千/月,本科,无需经验,少于50人,国际大牛带队,11-21
423,Java高级开发工程师,北京澎湃信用管理有限公司,北京-朝阳区,民营公司,1.5-3万/月,硕士,3-4年经验,少于50人,五险一金 餐饮补贴 员工旅游 绩效奖金 定期体检 专业培训 带薪年假,11-21
424,Java开发工程师(13薪+年终奖）,深圳市融臻科技管理有限公司,深圳-福田区,民营公司,0.6-1万/月,本科,1年经验,500-1000人,,11-21
425,Java工程师-济南,湖南联信科技有限公司,济南-高新区,民营公司,0.7-1.5万/月,本科,2年经验,150-500人,绩效奖金 五险一金 餐饮补贴 年终奖金 定期体检 专业培训,11-21
426,java高级开发工程师（高薪诚聘）,深圳市世纪伟图科技开发有限公司,深圳-福田区,民营公司,1.5-2.6万/月,本科,5-7年经验,150-500人,专业培训 绩效奖金 员工旅游 五险一金 带薪年假 加班调休 节假福利 周末双休 法定节假日休,11-21
427,Java开发工程师,广州劲源科技发展股份有限公司,广州,民营公司,4-8千/月,大专,无需经验,,,11-21
428,Java开发工程师,南京思优普信息科技有限公司,南京-江宁区,民营公司,1.2-1.8万/月,大专,3-4年经验,150-500人,五险一金 定期体检 餐饮补贴 交通补贴 绩效奖金 免费班车 周末双休,11-21
429,Java高级开发工程师,枫华国际教育集团,上海-长宁区,合资,1.5-2.5万/月,本科,5-7年经验,500-1000人,五险一金 绩效奖金 周末双休 餐饮补贴,11-21
430,Java开发工程师,江苏索迩软件技术有限公司,南京-雨花台区,民营公司,1-1.5万/月,大专,1年经验,,五险一金 通讯补贴 餐饮补贴 年终奖金 定期体检 员工旅游,11-21
431,软件工程师-JAVA,上海波汇科技有限公司,上海,民营公司,1.8-2.5万/月,本科,3-4年经验,,,11-21
432,Java开发工程师,苏州弘瀚自动化科技有限公司,苏州-高新区,民营公司,1.3-2万/月,大专,2年经验,50-150人,餐饮补贴 员工旅游 年终奖金 周末双休 五险一金,11-21
433,Java开发工程师,北京市计算中心有限公司,北京-海淀区,国企,1-1.2万/月,本科,3-4年经验,50-150人,五险一金 带薪年假 弹性工作 交通补贴 通讯补贴 节日福利 餐饮补贴 高温补贴 定期体检 补充医疗保险,11-21
434,002Java开发工程师,苏州弘磊光电有限公司,苏州,民营公司,1-1.5万/月,大专,2年经验,,,11-21
435,002高级Java开发工程师,苏州禾塔科技有限公司,苏州,民营公司,1-1.5万/月,大专,2年经验,,,11-21
436,Java开发工程师,绍兴环思智慧科技股份有限公司,青岛-市北区,上市公司,1.4-2万/月,大专,3-4年经验,500-1000人,通讯补贴 餐饮补贴 交通补贴 节日福利 带薪年假 弹性工作 定期体检 绩效奖金 五险一金 定期团建,11-21
437,Java开发工程师-上海,杭州泰格医药科技股份有限公司,上海-浦东新区,合资,1-1.5万/月,本科,3-4年经验,5000-10000人,五险一金 补充医疗保险 餐饮补贴 定期体检 年终奖金,11-21
438,Java开发工程师,铭凌（江苏）网络科技有限公司,昆山,民营公司,0.8-1万/月,本科,3-4年经验,少于50人,五险一金 餐饮补贴 绩效奖金 年终奖金 员工旅游,11-21
439,JAVA开发工程师,云智（宁波）大数据产业运营服务有限公司,宁波-鄞州区,民营公司,0.5-1万/月,本科,3-4年经验,50-150人,五险一金 周末双休 节假日福利 弹性工作 定期体检 员工旅游,11-21
440,002高级JAVA开发工程师,浙江至元数据科技有限公司,杭州,民营公司,1-1.5万/月,本科,2年经验,,,11-21
441,Java开发工程师,上海众意信息科技有限公司,上海-静安区,民营公司,1.5-2万/月,大专,3-4年经验,150-500人,五险一金 餐饮补贴 员工旅游 交通补贴 年终奖金,11-21
442,Java开发工程师,广东宏大欣电子科技有限公司,广州-越秀区,民营公司,0.8-1.4万/月,本科,3-4年经验,少于50人,五险一金 年终奖金 餐饮补贴 包住 出差补贴,11-21
443,Java初级开发工程师,广州拓尔思大数据有限公司,广州-天河区,上市公司,0.7-1.3万/月,本科,1年经验,150-500人,五险一金 餐饮补贴 通讯补贴 年终奖金 交通补贴 员工旅游,11-21
444,Java中级开发工程师,北京新联财通咨询有限公司,北京,民营公司,1.5-2万/月,大专,2年经验,150-500人,五险一金 餐饮补贴 绩效奖金 交通补贴,11-21
445,Java开发工程师,云南永兴元科技有限公司,玉溪,合资,6-8千/月,大专,1年经验,50-150人,五险一金 专业培训 年终奖金 员工住宿 法定节假日 节日福利,11-21
446,002Java开发工程师,浙达电力科技（杭州）有限公司,杭州,民营公司,1-1.5万/月,本科,2年经验,,,11-21
