,职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,省份,城市
157,数据分析/统计留学生Assessment/Essay各科英文写手写作老师,1万-2万,上海-浦东新区,不限,本科,['数据分析'],九江京聘人力资源服务有限公司,民营 ,20-99人 ,上海,上海
158,数据处理工程师,1万-2万,上海-宝山区,不限,本科,"['MATLAB', 'Python', '机器学习', '神经网络']",南京思影科技有限公司,民营 ,20人以下 ,上海,上海
159,信息员/信息统计员 助理,5千-8千,上海-徐汇区,不限,高中,"['统计学', '销售业务数据', '数据分析']",上海芯捷计算机科技有限公司,民营 ,100-299人 ,上海,上海
160,数据分析主管,1万-1.5万,上海-徐汇区,3-5年,本科,['临床数据分析'],上海海天医药科技开发有限公司,上市公司 ,1000-9999人 ,上海,上海
161,市场支持岗（数据统计）(J11779),9千-1.7万,上海-浦东新区,不限,本科,['数据统计'],贵酿酒业,民营 ,1000-9999人 ,上海,上海
162,数据管理经理（薪资范围：面议，15k-20k）,1.5万-2万,上海,3-5年,本科,"['服装行业', '数据分析部门经理']",上海乔治白实业有限公司,上市公司 ,100-299人 ,上海,上海
163,数据分析&决策支持方向,7千-1.3万,上海-青浦区,不限,本科,['相关分析'],申通快递,上市公司 ,10000人以上 ,上海,上海
164,销售支持专员,1万-1.4万,上海-浦东新区,1-3年,本科,"['SAP', 'ERP', '订单管理', '数据管理', '主数据', '商务', '销售支持', '销售运营']",外企德科,合资 ,1000-9999人 ,上海,上海
165,索尼办公室销售数据分析综薪8K+五险一金+双休,8千-1万,上海-浦东新区,不限,大专,"['数据分析', 'Power BI', 'BI', 'Python', '舆情分析', '市场数据分析', '销售数据分析', '电商数据分析']",上海外服杰浦企业管理有限公司,国企 ,100-299人 ,上海,上海
166,大数据开发工程师,1.8万-2.5万,上海-嘉定区,不限,本科,['Java'],上海天畅信息技术有限公司,合资 ,100-299人 ,上海,上海
167,数据分析师,1.5万-2.4万,上海-徐汇区,1-3年,大专,['需求分析'],凯捷中国,外商独资 ,1000-9999人 ,上海,上海
168,BI报表开发工程师,1.2万-1.7万,上海-浦东新区,3-5年,本科,"['Power BI', 'SQL', 'Tableau', 'FineBI', '数据可视化']",江苏鑫瑞源科技有限公司,民营 ,20-99人 ,上海,上海
169,数据分析工程师(J10553),2.5万-3.5万,上海-闵行区,5-10年,本科,"['数据分析', '回归分析', '方差分析']",卫龙,民营 ,1000-9999人 ,上海,上海
170,数据服务专员,6千-8千,上海-静安区,1-3年,大专,['SQL'],外企德科,合资 ,1000-9999人 ,上海,上海
171,AI运营数据分析师,1万-1.5万,上海,1-3年,本科,"['SAS', 'SQL', '商业数据分析', '经营数据分析']",平安普惠信息服务有限公司上海新金桥路分公司,上市公司 ,1000-9999人 ,上海,上海
172,数据专员,8千-1.2万,上海-普陀区,1-3年,本科,"['SQL', 'Tableau', '回归分析', 'Power-BI', '多元统计分析', '因子分析']",上海安点企业管理咨询有限公司,民营 ,20-99人 ,上海,上海
173,商业数据分析,1.1万-1.6万,上海-徐汇区,3-5年,本科,"['数据挖掘', '数据建模', '商业分析', '需求分析', '数据采集', 'POWER PIVOT', 'excel', '数据分析']",博彦科技,上市公司 ,10000人以上 ,上海,上海
174,Power BI 开发工程师,9千-1.3万,上海-徐汇区,1-3年,大专,"['SQL', '报表开发', '数据清洗', '数据可视化']",上海旭千科技股份有限公司,合资 ,20-99人 ,上海,上海
175,Data Analysis数据分析专员,8千-1万,上海-闵行区,1年以下,本科,['销售数据运营'],壬鼎实业(上海)有限公司,合资 ,300-499人 ,上海,上海
176,数据分析师,9千-1.5万,上海-浦东新区,1-3年,本科,"['数据分析', 'SQL', 'Python']",佰聆数据股份有限公司北京分公司,民营 ,100-299人 ,上海,上海
177,数据分析专员（电商平台）,6千-8千,上海,不限,大专,"['电商数据运营', '商业数据分析', '数据采集', '投放数据分析']",旺旺集团,上市公司 ,10000人以上 ,上海,上海
178,数据专员,7千-1万,上海-徐汇区,1-3年,本科,"['数据分析', 'EXCEL函数', 'EXCEL宏', '报表分析', '广告物料数据分析', 'SQL', 'VBA']",上海三渡,民营 ,100-299人 ,上海,上海
179,商业分析师,1万-1.5万,上海-静安区,无经验,学历不限,"['数据分析', '数据挖掘']",凯盛融英信息科技,民营 ,500-999人 ,上海,上海
180,市场助理（偏向数据分析）,7千-8千,上海-浦东新区,不限,本科,"['Python', 'ACCESS', '制药/医疗']",外企德科,合资 ,1000-9999人 ,上海,上海
181,大数据工程师,1.6万-2万,上海-黄浦区,3-5年,本科,"['Kafka', 'Hadoop', '数据分析']",南京泰瑞信息技术有限公司,民营 ,100-299人 ,上海,上海
182,数据分析师,1万-2万,上海-静安区,1-3年,本科,"['SQL', 'SAS', 'SPSS']",北京后厂科技有限公司,民营 ,1000-9999人 ,上海,上海
183,数据分析岗（咨诉管理方向）/10-15K月薪/年终奖,1万-1.5万,上海-浦东新区,无经验,本科,"['SQL', '行业数据分析', '数据仓库建模', '电商数据运营']",平安金服,股份制企业 ,1000-9999人 ,上海,上海
184,数据分析师（西安）,5千-1万,上海,不限,本科,"['数据分析', '数据采集', '数据挖掘', '大数据分析', 'Python', '数据清洗', 'SQL']",玛泽咨询(上海)有限公司,其它 ,100-299人 ,上海,上海
185,数据专员,6千-8千,上海-静安区,1-3年,大专,"['数据分析', '商业数据分析', '市场数据分析', '运营数据分析', '销售数据分析', '经营数据分析']",上海乾飞化工有限公司,民营 ,20-99人 ,上海,上海
186,临床数据管理员,1万-1.8万,上海-徐汇区,不限,大专,"['CRF', '临床数据管理', '临床数据分析']",博纳西亚(合肥)医药科技有限公司,民营 ,300-499人 ,上海,上海
187,数据分析（14薪、早九晚五、不加班）,1.5万-2万,上海-浦东新区,3-5年,本科,"['数据分析', 'SQL', 'SPSS', 'Python', 'SAS']",深圳南区人瑞人力资源服务有限公司,上市公司 ,10000人以上 ,上海,上海
188,行政助理+数据分析师+职业经纪人,8千-1.6万,上海-静安区,不限,本科,"['装修/搬迁经验', '互联网企业经验', '熟悉物业管理', '固定资产管理经验', '办公用品采购经验', '集团公司经验']",上海链家地产,民营 ,10000人以上 ,上海,上海
189,业务分析岗,1万-1.5万,上海-浦东新区,1-3年,本科,"['数据分析', '项目管理', '业务分析', '经营分析', '市场调研']",智联猎头,上市公司 ,1000-9999人 ,上海,上海
190,电商数据分析师,1万-2万,上海-长宁区,1-3年,本科,"['数据分析', '数据银行', '策略中心']",北京兴长信达科技发展有限公司,民营 ,1000-9999人 ,上海,上海
191,数据支持岗（年终奖/周末双休/六险二金）,9千-1.3万,上海-浦东新区,1-3年,本科,['描述统计'],平安金服,股份制企业 ,1000-9999人 ,上海,上海
192,数据分析师,1万-1.5万,上海,1-3年,本科,['数据统计分析'],南京飞勒克工业设备有限公司,外商独资 ,100-299人 ,上海,上海
193,商业分析（满意度分析）,1万-1.2万,上海-浦东新区,5-10年,大专,"['满意度分析', 'B端', '深度访问', '市场调研', '社会舆情', '品牌舆情']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,上海,上海
194,大数据分析师,3万-6万,上海-浦东新区,3-5年,本科,"['Python', 'SQL', 'Spark', 'MapReduce', 'Hadoop', 'Hive', 'Pandas', 'ECharts']",中邮邮惠万家银行有限责任公司,国企 ,100-299人 ,上海,上海
195,数据分析师,1.1万-1.5万,上海-浦东新区,1-3年,本科,"['Python', 'SQL', 'Linux']",上海织女座信息技术有限公司,其它 ,20-99人 ,上海,上海
196,数据分析师,1.3万-2.6万,上海-杨浦区,不限,本科,"['数据分析', '数据建模', 'SQL', 'Python', '国企背景']",北京百川聚才人力资源顾问有限公司,民营 ,1000-9999人 ,上海,上海
197,信息分析师(城市研究杭州),5千-1万,上海-静安区,1-3年,本科,"['SQL', 'Tableau', 'Hive', 'Power-BI', 'R', '房地产/建筑']",上海克而瑞信息技术有限公司,外商独资 ,1000-9999人 ,上海,上海
198,数据分析专员-汉高外包项目,9千-1万,上海-杨浦区,1-3年,大专,"['数据分析', 'BI']",电声股份,合资 ,1000-9999人 ,上海,上海
199,DA数据分析师 外企无加班,1.5万-3万,上海-浦东新区,1-3年,本科,"['Python', 'SQL', '回归分析', '决策树', 'R']",上海晨钦信息科技服务有限公司, ,,上海,上海
200,市场助理（上海）,6千-1万,上海-虹口区,不限,大专,"['数据抓取', 'SEM', '数据分析', '市场助理', '助理', 'excel']",北京德视佳东部眼科诊所有限公司,上市公司 ,100-299人 ,上海,上海
201,数据分析专员,1万-2万,上海-浦东新区,1-3年,本科,"['数据分析', 'SPSS', 'Python']",智联猎头,上市公司 ,1000-9999人 ,上海,上海
202,数据分析师课程/培训招生,8千-1.5万,上海-黄浦区,不限,大专,"['数据分析', '商业数据分析', '运营数据分析', '市场数据分析', '财务数据分析', '金融数据分析']",51Testing,民营 ,100-299人 ,上海,上海
203,资深数据分析员,6千-8千,上海-静安区,不限,学历不限,"['数据分析', '商业数据分析', '数据采集', 'Excel']",上海诣灵市场策划有限公司,民营 ,500-999人 ,上海,上海
204,数据分析岗（业管内勤）,9千-1.2万,上海-浦东新区,1-3年,本科,"['贷款行业', '数据处理', '不出差']",平安普惠融资担保有限公司上海分公司,上市公司 ,10000人以上 ,上海,上海
205,市场支持（数据分析）- 派遣,6千-1万,上海-浦东新区,不限,大专,"['数据采集', '商业分析', '数据挖掘', '需求分析', '行业分析', '空压机']",阿特拉斯.科普柯（上海）贸易有限公司,外商独资 ,1000-9999人 ,上海,上海
206,经营分析岗/周末双休/4-6个月年终奖,1万-1.5万,上海-浦东新区,无经验,本科,"['SPSS', '行业分析', '大数据分析', '大数据平台', '数据集市', '商业数据分析']",平安金服,股份制企业 ,1000-9999人 ,上海,上海
207,市场调研分析,1万-1.2万,上海-浦东新区,3-5年,大专,"['行业研究', '数据分析', '市场研究', '企业调研', '用户调研', '市场信息收集', '咨询顾问', '咨询专员/助理']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,上海,上海
208,"BI工程师(QlikView,VBA,Tableau,大数据)",2万-3万,上海-浦东新区,3-5年,本科,"['数据分析', '数据库', '数据挖掘', 'BI', 'QLIK', 'VBA']",上海挚飞信息科技有限公司,民营 ,20-99人 ,上海,上海
209,数据分析师,1.5万-2万,上海-杨浦区,5-10年,本科,"['Tableau', 'SPSS', 'SAS', 'Python', '建模', 'Excel', 'R']",上海吉贝克信息技术有限公司,民营 ,500-999人 ,上海,上海
210,数据分析工程师,1万-2万,上海-浦东新区,不限,本科,"['数据分析', 'SQL', 'Python']",上海交银信息数据有限公司,国企 ,1000-9999人 ,上海,上海
211,数据支持专员,6千-8千,上海,1-3年,本科,"['数据分析', '销售业务数据']",威高血液净化制品(上海)有限公司,民营 ,500-999人 ,上海,上海
212,商业数据分析,1.5万-1.7万,上海-徐汇区,3-5年,本科,"['excel', 'BI QUERY', '数据挖掘', '数据分析', '需求分析', 'Power-BI']",博彦科技,上市公司 ,10000人以上 ,上海,上海
213,数据服务专员,6千-8千,上海-静安区,1-3年,大专,['SQL'],外企德科,合资 ,1000-9999人 ,上海,上海
214,大数据开发工程师,2.6万-3万,上海-虹口区,3-5年,大专,"['Hadoop', '数据分析']",艾捷智信息科技(上海)有限公司,民营 ,100-299人 ,上海,上海
215,数据建模分析师,1.2万-1.6万,上海-浦东新区,不限,硕士,"['数据建模', '数据分析', '机器学习', '文本挖掘', 'R语言', 'Python']",上海数治数据科技有限公司,民营 ,20-99人 ,上海,上海
216,数据专员,8千-1.1万,上海-静安区,不限,本科,"['Python', '数据分析', '数据清洗', 'Power BI', 'Pandas']",新东方教育科技集团有限公司,上市公司 ,10000人以上 ,上海,上海
217,数据分析员/电商数据分析员（CET6）,1.2万-1.5万,上海,1-3年,本科,"['数据分析', '品类数据分析', '电商数据分析']",上海职享企业管理有限公司,民营 ,100-299人 ,上海,上海
218,中银证券--数据开发工程师,3万-6万,上海-浦东新区,3-5年,本科,"['Python', 'SQL']",亨特爾獵頭(中國)公司,外商独资 ,100-299人 ,上海,上海
219,商品助理,8千-1.2万,上海,不限,大专,['批发/零售'],上海盼库科技有限公司,民营 ,20-99人 ,上海,上海
220,Data Analysis数据分析专员,8千-1万,上海-徐汇区,1-3年,本科,['IT/互联网'],上海柏迦科技有限公司,合资 ,100-299人 ,上海,上海
221,商品数据分析员 (W03767),1万-1.5万,上海,1-3年,大专,['电商'],上海向心云网络科技有限公司,民营 ,100-299人 ,上海,上海
222,运营专家/数据分析,1万-2万,上海-杨浦区,1-3年,本科,"['数据分析', '数据监控', 'SQL', 'Python', '运营数据分析', '销售数据分析', '经营数据分析']",上海我爱我家,上市公司 ,10000人以上 ,上海,上海
223,数据开发工程师,3万-5万,上海-浦东新区,5-10年,本科,"['Python', 'Spark', 'Kafka', 'Hadoop', 'Hbase', 'HIVE']",亨特爾獵頭(中國)公司,外商独资 ,100-299人 ,上海,上海
224,业务分析负责人,4万-7万,上海-长宁区,5-10年,本科,"['SQL', 'Power-BI', '平台类产品']",满帮集团,上市公司 ,1000-9999人 ,上海,上海
225,大数据开发工程师-J10092,9千-1.4万,上海-闵行区,3-5年,本科,"['大数据开发', '数据分析', 'Hadoop', 'Spark']",上海恒为云驰信息技术有限公司武汉分公司,民营 ,100-299人 ,上海,上海
226,数据分析师,1.4万-1.6万,上海-浦东新区,3-5年,本科,"['SQL', 'Oracle', 'MySQL', '业务数据分析', '业务场景策略', '数据报表开发']",博彦科技,上市公司 ,10000人以上 ,上海,上海
227,风控数据分析师,1.4万-1.8万,上海-嘉定区,不限,本科,"['Python', 'Oracle', '数据挖掘', '数据采集', '数据分析']",苏州众之源人力资源有限公司射阳分公司,其它 ,20人以下 ,上海,上海
228,多维分析开发工程师,1.1万-1.5万,上海-静安区,1-3年,本科,"['YONGHONGBI', 'Tableau', 'FINEBI', '可视化', 'Power-BI']",重庆新致金服信息技术有限公司,合资 ,100-299人 ,上海,上海
229,金融数据分析主管,1万-1.2万,上海-浦东新区,1-3年,本科,"['金融', '数据分析']",国银控股集团(海南)有限公司,民营 ,100-299人 ,上海,上海
230,市场运营分析专员,1.1万-1.4万,上海-徐汇区,1-3年,本科,"['SQL', 'Tableau', 'R', '数学/统计学专业', '管理咨询工作经验', '英语可作为工作语言', '工具类产品', '医疗健康']",万宝盛华企业管理咨询(上海)有限公司武汉分公司,上市公司 ,500-999人 ,上海,上海
231,市场助理-SFE数据分析方向（外资知名医药公司）,9千-1.2万,上海-徐汇区,1-3年,本科,"['数据分析', 'excel']",科锐国际,合资 ,1000-9999人 ,上海,上海
232,数据分析师,2.5万-5万,上海-长宁区,1-3年,本科,"['数据分析', '数据挖掘', 'Hadoop', 'Spark', 'Python', 'Shell', '商业数据分析', '游戏数据分析']",拼多多,民营 ,1000-9999人 ,上海,上海
