,职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,省份,城市
2612,大数据工程师,7千-1.2万,宁波-鄞州区,1-3年,本科,"['Flink', 'Storm', 'Hbase', 'Spark', 'Kafka', 'Flume', 'ElasticSearch', 'Mahout']",宁波国际物流发展股份有限公司,国企 ,100-299人 ,浙江,宁波
2613,大数据开发（周末双休+不内卷+稳定发展空间大）,1.6万-2万,宁波-江北区,3-5年,本科,['SQL'],法本信息,上市公司 ,1000-9999人 ,浙江,宁波
2614,数据工程师,6千-1万,宁波-鄞州区,不限,本科,"['GIS', 'AutoCAD', 'CASS']",北京五色金土信息科技有限公司,民营 ,20-99人 ,浙江,宁波
2615,数据分析师,1.3万-1.5万,宁波-鄞州区,1-3年,本科,"['SQL', 'Python', 'SAS', 'Matlab']",厦门和基贸易有限公司,民营 ,20-99人 ,浙江,宁波
2616,数据分析师（风控建模）,1.1万-2万,宁波-鄞州区,1-3年,本科,"['Python', '数据分析', 'SQL', 'MySQL', 'R语言', '机器学习']",中科聚信信息技术(北京)有限公司,民营 ,100-299人 ,浙江,宁波
2617,数据开发工程师,1万-2万,宁波-江北区,3-5年,本科,"['数据分析', '数据库', '模型设计', 'Oracle']",江苏谷科软件有限公司,民营 ,500-999人 ,浙江,宁波
2618,大数据开发工程师,1.7万-3万,宁波-鄞州区,1-3年,本科,"['Python', 'R语言']",天津穆林科技有限公司北京分公司,合资 ,500-999人 ,浙江,宁波
2619,数据专员,5千-7千,宁波-北仑区,1-3年,大专,['数据适配分析'],浙江万明精配大数据科技有限公司,民营 ,20-99人 ,浙江,宁波
2620,数据统计专员,6千-1万,宁波-江北区,不限,大专,['SQL'],深圳市七度阳光珠宝有限公司,民营 ,20-99人 ,浙江,宁波
2621,车险数据分析岗,6千-8千,宁波-海曙区,1-3年,本科,['车险'],中国人寿财产保险股份有限公司宁波市分公司,国企 ,500-999人 ,浙江,宁波
2622,数据分析工程师,1.5万-2万,宁波-鄞州区,3-5年,本科,"['数据分析', '机器学习']",南京天洑软件有限公司,民营 ,20-99人 ,浙江,宁波
2623,市场分析,1.5万-2万,宁波-镇海区,1-3年,本科,"['市场营销', '网络营销', '市场分析', 'MARKET']",遨森电子商务股份有限公司,民营 ,500-999人 ,浙江,宁波
2624,数据开发工程师,2.6万-4万,宁波-鄞州区,1-3年,本科,"['SQL', 'Spark', 'Storm', 'Flink', 'HIVE']",厦门和基贸易有限公司,民营 ,20-99人 ,浙江,宁波
2625,期货数据分析员,8千-1.3万,宁波-镇海区,1-3年,本科,"['数据分析', '证券从业资格证', '股票/期货分析']",秦皇岛市天晖塑料有限公司,民营 ,100-299人 ,浙江,宁波
2626,数据监测员+朝九晚六,4千-5千,宁波-北仑区,不限,中专/中技,['数据员'],宁波保税区睿幸劳务服务有限公司,民营 ,20-99人 ,浙江,宁波
2627,市场调研/市场研究专员,6千-1万,宁波-鄞州区,1-3年,本科,"['市场分析', '市场研究', '市场调研', '用户洞察']",宁波渠成集团有限公司,民营 ,500-999人 ,浙江,宁波
2628,商用车业务推动岗,6千-1万,宁波-鄞州区,1-3年,大专,"['市场推广', '客户管理', '运营管理', '业务培训', '业务管理']",上海铁金刚信息科技有限公司,民营 ,300-499人 ,浙江,宁波
2629,数据分析师,2.3万-3.5万,宁波-鄞州区,1-3年,本科,"['回归分析', 'SQL', 'Python', 'Java', '方差分析', '多元统计分析']",厦门和基贸易有限公司,民营 ,20-99人 ,浙江,宁波
2630,大数据工程师/助理工程师-云龙厂区,6千-1万,宁波-海曙区,1-3年,本科,"['Java', 'SQL']",博威合金,股份制企业 ,1000-9999人 ,浙江,宁波
2631,数据研发工程师,2.2万-3.5万,宁波-江北区,1-3年,本科,['Java'],四川聚科锐科技有限责任公司,民营 ,20-99人 ,浙江,宁波
2632,商品研究员（金属）,8千-1.5万,宁波,不限,本科,['经济分析'],中哲集团,民营 ,1000-9999人 ,浙江,宁波
2633,银行数据工程师,1.5万-1.8万,宁波-江北区,3-5年,本科,"['SQL', 'Oracle']",杭州点慧企业管理咨询有限公司,民营 ,20-99人 ,浙江,宁波
2634,大数据分析工程师助理,6千-1万,广州-天河区,不限,大专,"['SQL', 'Python']",广州市博锐信息软件有限公司,民营 ,100-299人 ,广东,广州
2635,项目数据分析（周末双休）,1.1万-1.4万,广州-番禺区,不限,大专,"['Java', 'SQL', 'Scala', 'Flume', 'Hbase', 'SAS', 'Excel']",深圳市大深科技技术有限公司,民营 ,20-99人 ,广东,广州
2636,高级数据分析师,1万-1.8万,广州-黄埔区,1-3年,本科,"['Python', 'SQL', 'Scala', 'Hive', 'Tableau', 'Excel']",广州方舟医药有限公司,民营 ,1000-9999人 ,广东,广州
2637,数据分析专员,6千-8千,广州-白云区,1-3年,本科,['相关分析'],江西世邦企业管理有限公司,其它 ,20-99人 ,广东,广州
2638,证券数据分析,8千-1.2万,广州,不限,大专,"['投资分析', '基本面分析', '技术面分析', '股票市场', '基金市场', '期货市场']",广东兆丰恒业控股集团有限公司,民营 ,1000-9999人 ,广东,广州
2639,穗智管-数据分析工程师 (MJ000533),1.5万-2.5万,广州-海珠区,3-5年,本科,"['数据分析', '商业分析', 'Hive', 'SQL']",广电运通,上市公司 ,10000人以上 ,广东,广州
2640,高级数据分析师（开发方向）,1.5万-3万,广州-荔湾区,3-5年,本科,"['数据分析', 'ETL', 'Hadoop', 'Hive', 'Python', 'Java', '数据建模', '数据可视化']",唯品会,上市公司 ,10000人以上 ,广东,广州
2641,数据分析,2万-3.5万,广州-天河区,1-3年,本科,"['SAS', '直播数据分析', '决策树', 'Storm', '方差分析', '因子分析', 'Excel', '参数检验']",广州市恒烽能源有限公司, ,,广东,广州
2642,数据分析工程师,7千-8千,广州-海珠区,1-3年,大专,['SQL'],亿达信息,民营 ,1000-9999人 ,广东,广州
2643,销售数据分析,8千-1.2万,广州-天河区,1-3年,本科,"['SQL', 'Python', 'Tableau', 'R语言', 'Power BI', 'IT/互联网']",智联招聘,其它 ,1000-9999人 ,广东,广州
2644,数据分析专员,5千-1万,广州,1-3年,本科,"['数据统计分析', 'excel', '函数']",大金（中国）投资有限公司广州分公司,外商独资 ,500-999人 ,广东,广州
2645,数据分析专员,6千-1万,广州,1-3年,本科,"['数据分析', '数据支持', 'SQL', 'SPSS', 'Python', 'SAS', '交通/物流']",广州市贝法易信息科技有限公司,民营 ,300-499人 ,广东,广州
2646,数据分析专员,7千-1.1万,广州-天河区,1-3年,大专,"['数据分析', '需求分析']",广州纵原科技有限公司,民营 ,100-299人 ,广东,广州
2647,数据分析工程师,6千-8千,广州-越秀区,1-3年,本科,"['数据分析', '遥感', '大数据分析', '运营数据分析']",广东华风锐进科技有限公司,股份制企业 ,20人以下 ,广东,广州
