职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
.NET开发工程师,深圳领驭科技有限公司,8千-1.5万,深圳·南山区,1年,大专,民营,50-150人,,https://jobs.51job.com/shenzhen/140239879.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coAGMBbF48DjgEZgZgUT0.html
生信开发工程师,广东明志医学检验实验室有限公司,1.3-2万·13薪,东莞·松山湖区,2年,本科,民营,50-150人,,https://jobs.51job.com/guangzhou/146295313.html?s=sou_sou_soulb&t=0_1&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coVjUBYgJjDzYGYQRhVjM.html
软件开发工程师,成都乐创自动化技术股份有限公司,7千-1万,成都,无需经验,本科,已上市,50-150人,机械/设备/重工,https://jobs.51job.com/chengdu/126988070.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coB2NVM146DjdWMFQ1B2o.html
Java开发工程师,上海兰宝烟草机械制造有限公司,2-3.5万·13薪,上海·闵行区,5-7年,本科,民营,50-150人,机械/设备/重工,https://jobs.51job.com/shanghai/145743463.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coB2NXNQVuVmxUNQNlAGE.html
产品开发工程师-PP方向,金发科技股份有限公司,1.5-3万,上海·青浦区,1年,硕士,已上市,10000人以上,石油/化工/矿产/地质,https://jobs.51job.com/shanghai/145206002.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coCW4Cb1I2VW8PbVM5.html
c/c++开发工程师,智达诚远科技有限公司,1.6-2.3万,北京,3-4年,本科,民营,1000-5000人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/148641620.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coVDVdP1M0U28GalA6AGw.html
MCU单片机软件开发工程师,深圳市讯晨智能科技有限公司,1.5-2.5万·13薪,深圳·龙岗区,3-4年,大专,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shenzhen/123258279.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coB2IGawNoU2VUMAxqUTw.html
电商ERPJava开发-跨境业务优先,上海得逸信息技术有限公司,1.5-1.7万,佛山·顺德区,5-7年,大专,民营,1000-5000人,,https://jobs.51job.com/guangzhou/148631222.html?s=sou_sou_soulb&t=0_1&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coCGtVOQBqUWcOaw1uVjc.html
前端开发工程师,上海仪电鑫森科技发展有限公司,1.5-2.2万,上海·虹口区,3-4年,本科,国企,150-500人,计算机软件,https://jobs.51job.com/shanghai/148660285.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coVTEBYVIxBjoHagdsVTM.html
Andriod驱动开发工程师,杭州微纳科技股份有限公司,1-2万·13薪,深圳·南山区,1年,本科,民营,50-150人,,https://jobs.51job.com/hangzhou/148659248.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coUTJTNFE7UmwOYgxsAGw.html
嵌入式软件开发工程师,深圳曼顿科技有限公司,1.8-3.5万,深圳·宝安区,3-4年,本科,民营,500-1000人,电气/电力/水利,https://jobs.51job.com/shenzhen/142057087.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coVjVQNVcyBjoFYlM2BmA.html
银行核心java开发工程师(J10015),北京高阳金信信息技术有限公司,1-1.5万,上海·浦东新区,2年,本科,已上市,500-1000人,,https://jobs.51job.com/shanghai/148617262.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coUzQBZABiDzMHZVE0.html
产品开发专家/顾问（跨境电商）,广州瀚翼扬电子商务有限公司,2-4万,广州·海珠区,5-7年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/guangzhou/148656056.html?s=sou_sou_soulb&t=0_0&req=63c91f4634b9fc4058c56a1c758dc55d,https://jobs.51job.com/all/coAmdXNVQ-BjFVNQFiAmc.html
硬件工程师（车载ECU开发 ）,三井金属爱科特（上海）管理有限公司,1.5-3万,上海·徐汇区,5-7年,大专,外资（非欧美）,50-150人,,https://jobs.51job.com/shanghai/131052738.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coAGRSMV81ATYGZwdlVzQ.html
硬件开发工程师,深圳市奥金瑞科技有限公司,1-1.5万,深圳·龙华区,3-4年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/shenzhen/137856348.html?s=sou_sou_soulb&t=0_0&req=606662442dcdc9b3c33e1e0702977cd6,https://jobs.51job.com/all/coVTdUN1U0Um4PalA7BWI.html
总装内饰工艺开发工程师,北京福田戴姆勒汽车有限公司,8千-1万,北京·怀柔区,2年,本科,合资,5000-10000人,汽车,https://jobs.51job.com/beijing/147891727.html?s=sou_sou_soulb&t=0_0&req=effaadb47abca44d5bc8eb6bae568acc,https://jobs.51job.com/all/coBWEBbF4-Bj5TNlMxUj8.html
前端开发工程师,广州百视信通智能科技有限公司,7-8千,广州·黄埔区,2年,大专,民营,150-500人,计算机软件,https://jobs.51job.com/guangzhou/110882207.html?s=sou_sou_soulb&t=0_0&req=d23e39841dedf91eb66fa01c1d44b307,https://jobs.51job.com/all/coBmNTMFMwVm0HYAxuVjc.html
高级开发工程师,广州市九重天信息科技有限公司,3-5万,北京·西城区,5-7年,本科,民营,少于50人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/beijing/146737705.html?s=sou_sou_soulb&t=0_0&req=d23e39841dedf91eb66fa01c1d44b307,https://jobs.51job.com/all/coA2ECZVA1VWIEYw1qUjI.html
