职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
IT工程师（深圳）,北京埃彼达雅医学诊断技术有限责任公司,2-4万,深圳·南山区,2年,本科,民营,50-150人,制药/生物工程,https://jobs.51job.com/shenzhen/132216323.html?s=sou_sou_soulb&t=0_0&req=38383e89b1d71dd0e0766b124b832d69,https://jobs.51job.com/all/coA2BRNlIwBj8GYVM5Uz4.html
点云算法工程师,小优智能科技（深圳）有限公司,1.5-3万,青岛,2年,本科,民营,50-150人,,https://jobs.51job.com/shenzhen/140454151.html?s=sou_sou_soulb&t=0_1&req=38383e89b1d71dd0e0766b124b832d69,https://jobs.51job.com/all/coCWkAbAVlAzVVNwxrUD0.html
软件算法高级工程师,深圳天邦达科技有限公司,2-4万,深圳·光明区,5-7年,本科,民营,1000-5000人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/140479898.html?s=sou_sou_soulb&t=0_0&req=38383e89b1d71dd0e0766b124b832d69,https://jobs.51job.com/all/coAWRSMlIyATkBYFQ_Uzc.html
嵌入式软件开发工程师,新港海岸（北京）科技有限公司,2-3.5万·14薪,深圳·福田区,3-4年,本科,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/148045604.html?s=sou_sou_soulb&t=0_0&req=85b940759cd1d92ac58cd148e00987a0,https://jobs.51job.com/all/coUzZSNVAyBjAHYABmUDY.html
路径规划算法工程师,广东亿嘉和科技有限公司,2.5-4万,深圳·南山区,2年,硕士,已上市,500-1000人,家具/家电/玩具/礼品,https://jobs.51job.com/shenzhen/141536942.html?s=sou_sou_soulb&t=0_0&req=576c2e21ab927fcb4c0b5077989aa8f5,https://jobs.51job.com/all/coUjNVMQRkVmoBYVcyB2E.html
数据采集员（双休+13薪）,深圳市中普传媒有限公司,7千-1.1万,广州·越秀区,无需经验,大专,民营,150-500人,,https://jobs.51job.com/guangzhou/141872256.html?s=sou_sou_soulb&t=0_0&req=576c2e21ab927fcb4c0b5077989aa8f5,https://jobs.51job.com/all/coVTRSNQJkDzcEZgZlUzQ.html
Golang/Python开发工程师,晶测自动化（深圳）有限公司,6千-1.2万,深圳·光明区,2年,大专,创业公司,50-150人,交通/运输/物流,https://jobs.51job.com/shenzhen/147838507.html?s=sou_sou_soulb&t=0_0&req=1573007a3112c9d9418a1a8d80fd16ca,https://jobs.51job.com/all/coAWNTMFQ2AT0HagVlUjU.html
Full Stack Engineer (数据分析方向）,HCL Technologies (Shanghai) Limited,2-3万·13薪,上海,5-7年,本科,外资（非欧美）,500-1000人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/144922067.html?s=sou_sou_soulb&t=0_0&req=85b940759cd1d92ac58cd148e00987a0,https://jobs.51job.com/all/coA2cFYFMzAzoEYFQ1Vjs.html
开发经理/技术专家（python）,达而观信息科技（上海）有限公司,2-2.5万,上海·浦东新区,5-7年,本科,民营,500-1000人,计算机软件,https://jobs.51job.com/shanghai/114575566.html?s=sou_sou_soulb&t=0_0&req=a2929202832cf63f4900acba441fd2bb,https://jobs.51job.com/all/coBGZWMwBgVGlVNw1sAWU.html
PMO(python+微软低代码),Alten China Limited,1.2-2万·13薪,广州·花都区,2年,本科,外资（欧美）,500-1000人,汽车,https://jobs.51job.com/guangzhou/147424008.html?s=sou_sou_soulb&t=0_0&req=a2929202832cf63f4900acba441fd2bb,https://jobs.51job.com/all/coUjZUNF47UmUHYgNkXTg.html
