,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
305,JAVA开发***,成都拓达聚思力信息技术有限公司,17500.0,成都,3-4年,本科,外资（欧美）,500-1000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/132297738.html?s=sou_sou_soulb&t=0_0&req=3f2a3f0c50725a2b6d6f2289ae628ea9,https://jobs.51job.com/all/coBWJWNVU2BzBWMQBjVzY.html
306,Java高级开发工程师,西藏科玛奇信息科技股份有限公司,15000.0,成都·武侯区,5-7年,本科,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/chengdu/144145053.html?s=sou_sou_soulb&t=0_0&req=f1d90fe7e6710c88288c915a9de3c876,https://jobs.51job.com/all/coUTIFYVQwVWwCYwNiUj4.html
307,Java开发工程师,深圳市磅旗科技智能发展有限公司,16000.0,深圳·罗湖区,2年,大专,民营,150-500人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/146262384.html?s=sou_sou_soulb&t=0_0&req=f4824387a899abcf4fd5a59fe4894e50,https://jobs.51job.com/all/coUTFVMF4-AD0DZwdnUzQ.html
308,Java开发工程师,归一互生集团有限公司,9000.0,深圳·福田区,3-4年,大专,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shenzhen/134901080.html?s=sou_sou_soulb&t=0_0&req=15ac7c0e655bcb5a4b0d629e645816b7,https://jobs.51job.com/all/coA2NUNwdnATwFZlE6UTU.html
309,Java开发工程师,内蒙古钛驰新迪商务有限公司,11500.0,北京·朝阳区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/tianjin/141750914.html?s=sou_sou_soulb&t=0_0&req=997c71278c471bc67f2986586d6a084e,https://jobs.51job.com/all/coVDVXMFIxVmAOaQZlBWU.html
310,Java开发,点奇互联（北京）科技有限公司,11500.0,北京·海淀区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/cangzhou/141154224.html?s=sou_sou_soulb&t=0_0&req=b294dbb671d1357e75948572747522db,https://jobs.51job.com/all/coUTBSNFI0AjxUMFA7AmA.html
311,国企Java开发工程师13K+双休,佰聆数据股份有限公司北京分公司,12000.0,广州·黄埔区,3-4年,本科,民营,500-1000人,,https://jobs.51job.com/guangzhou/148426549.html?s=sou_sou_soulb&t=0_0&req=e1aa38cd762578cbbf60665c93537c47,https://jobs.51job.com/all/coBmVSMVUzAj4CZFY0AWI.html
312,Java开发工程师,北京网安通达科技有限公司,11500.0,北京·昌平区,1年,大专,民营,,计算机软件,https://jobs.51job.com/shenyang/146260520.html?s=sou_sou_soulb&t=0_0&req=87dd3fddbb2535f36fd0010035b96167,https://jobs.51job.com/all/coVDUBYF87Az1WMAJgUTA.html
313,Java开发工程师,香港宏安集团,2600.0,深圳·福田区,5-7年,本科,外资（非欧美）,5000-10000人,多元化业务集团公司,https://jobs.51job.com/shenzhen/147648169.html?s=sou_sou_soulb&t=0_0&req=87dd3fddbb2535f36fd0010035b96167,https://jobs.51job.com/all/coVjMAZVE2AD4HZ1A1VjM.html
314,业务应用开发（JAVA）,招商证券股份有限公司,8750.0,深圳·南山区,1年,本科,国企,10000人以上,,https://jobs.51job.com/shenzhen/147882895.html?s=sou_sou_soulb&t=0_0&req=fd207bc75a2adde59062e13635be6b70,https://jobs.51job.com/all/coVTFUNFQzDjAFZVM3Bmo.html
315,Java开发工程师（智慧园区）,上海复深蓝软件股份有限公司,17500.0,北京,5-7年,大专,已上市,1000-5000人,计算机软件,https://jobs.51job.com/beijing/147381457.html?s=sou_sou_soulb&t=0_0&req=fd207bc75a2adde59062e13635be6b70,https://jobs.51job.com/all/coA2RXMwBhBzsGYFMz.html
316,Java开发工程师/高工,广东爱旭科技有限公司,8700.0,金华,3-4年,本科,已上市,1000-5000人,原材料和加工,http://campus.51job.com/Aikosolar2023/jobinfo.html?jobid=141824349,http://campus.51job.com/Aikosolar2023/
317,Java软件工程师,广州保仕盾智能科技有限公司,11500.0,广州·白云区,3-4年,大专,民营,150-500人,家具/家电/玩具/礼品,https://jobs.51job.com/guangzhou/146456467.html?s=sou_sou_soulb&t=0_0&req=d4b0bcc98528598f00b715aef49e27a2,https://jobs.51job.com/all/coAWFdOANoVGgBZQJkB2Y.html
318,高级Java开发工程师,上海杰斐网络科技有限公司,13500.0,上海·浦东新区,5-7年,大专,民营,少于50人,,https://jobs.51job.com/shanghai/133431791.html?s=sou_sou_soulb&t=0_0&req=d4b0bcc98528598f00b715aef49e27a2,https://jobs.51job.com/all/coAWNcMARjBT8AYwBqVDM.html
319,Java高级开发工程师,广州趣米网络科技有限公司,8600.0,广州·天河区,5-7年,本科,民营,150-500人,广告,https://jobs.51job.com/guangzhou/130194717.html?s=sou_sou_soulb&t=0_0&req=b87e9636988093ea98bc2a590748a6f1,https://jobs.51job.com/all/coUjBVNlU0DzgBZgdlXT4.html
320,Java开发程序工程师,广东中天宏基智能科技有限公司,15000.0,广州·黄埔区,5-7年,本科,民营,50-150人,互联网/电子商务,https://jobs.51job.com/guangzhou/120055528.html?s=sou_sou_soulb&t=0_0&req=4e29776927a4a9fd3a6f8a546724a6a1,https://jobs.51job.com/all/coB2RSNVY3VWxRMQ1rBmo.html
