,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
586,c/c++软件开发,上海网擎信息系统有限公司,9500.0,上海·杨浦区,3-4年,本科,民营,,通信/电信/网络设备,https://jobs.51job.com/harbin/146822211.html?s=sou_sou_soulb&t=0_0&req=708085d49f98647af57e1db05b6aa846,https://jobs.51job.com/all/coB2ZSNVI2BTpSNAFnVjA.html
587,市场营销专员,85度c,6500.0,上海·徐汇区,1年,大专,外资（非欧美）,10000人以上,餐饮业,https://jobs.51job.com/shanghai/144319879.html?s=sou_sou_soulb&t=0_0&req=cb0eabd808a170857b71b75803be088a,https://jobs.51job.com/all/coBmJQNVEzBToPagBhVjA.html
588,Senior Service Engineer 高级服务执行工程师,西门子(中国)有限公司 SLC (A&C),17500.0,上海,5-7年,本科,外资（欧美）,,金融/投资/证券,https://jobs.51job.com/shanghai/147810286.html?s=sou_sou_soulb&t=0_0&req=9be332daa26b50c609f191dffbd6e81f,https://jobs.51job.com/all/coBWFUNQdkBDJVMQBnVDA.html
589,C/C++ 软件开发工程师  (上海),新思科技（上海）Synopsys,32500.0,上海·杨浦区,3-4年,本科,外资（欧美）,500-1000人,,https://jobs.51job.com/shanghai/104382410.html?s=sou_sou_soulb&t=0_0&req=593ca4ca41ede39453f7bd82bdf78da4,https://jobs.51job.com/all/coCG9UNANiBj8FYwxt.html
590,代驾司机,江苏快拍立信网络科技有限公司,500000.0,深圳·龙华区,1年,,民营,150-500人,生活服务,https://jobs.51job.com/shenzhen/140786390.html?s=sou_sou_soulb&t=0_0&req=359b46ae659a7489f6a1f06d9f478b83,https://jobs.51job.com/all/coAmBQPQRmADpRNABqVjs.html
591,计算机软件开发,深圳市格尔曼科技有限公司,15000.0,深圳·宝安区,1年,大专,民营,150-500人,计算机软件,https://jobs.51job.com/changsha/143408685.html?s=sou_sou_soulb&t=0_0&req=08b8a9d09a4a0c8c07885974310513ec,https://jobs.51job.com/all/coUTFTMQBqAzVWM1c3UDw.html
592,c/c++嵌入式开发工程师,中大智能科技股份有限公司,10750.0,深圳·南山区,3-4年,本科,民营,1000-5000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shenzhen/145986262.html?s=sou_sou_soulb&t=0_0&req=fc4a348f0feaf545d0b9207dea12dd64,https://jobs.51job.com/all/coVjZTMgVgUmUPYwRhUDA.html
593,跑腿-C端用户运营-增长方向,美团,3000.0,北京·朝阳区,5-7年,,已上市,10000人以上,,https://jobs.51job.com/beijing/147973084.html?s=sou_sou_soulb&t=0_0&req=cf3ce71d3d7d093a5fb9c1f1d93bc450,https://jobs.51job.com/all/coBWcGZl49Az1WNlAxBmU.html
594,C-嵌入式软件工程师,深圳市沃特沃德股份有限公司,11500.0,深圳·南山区,2年,大专,民营,1000-5000人,多元化业务集团公司,https://jobs.51job.com/shenzhen/148385869.html?s=sou_sou_soulb&t=0_0&req=4186edbe229e1051294b00fb0da078a2,https://jobs.51job.com/all/coB2IFaFQyDjkPbgJpVDM.html
595,驾驶员,禺高控股集团有限公司,6000.0,北京·门头沟区,5-7年,高中,民营,,多元化业务集团公司,https://jobs.51job.com/beijing/147995234.html?s=sou_sou_soulb&t=0_0&req=16db75bc908ec7379be6e0ddd2328ab3,https://jobs.51job.com/all/coAmNQM1I5BzBWMAxrAGc.html
