序号,职位,公司名称,公司地点,公司性质,薪资,学历要求,工作经验,公司规模,公司福利,发布时间
433,Java开发工程师,北京市计算中心有限公司,北京-海淀区,国企,1-1.2万/月,本科,3-4年经验,50-150人,五险一金 带薪年假 弹性工作 交通补贴 通讯补贴 节日福利 餐饮补贴 高温补贴 定期体检 补充医疗保险,11月21日
434,002Java开发工程师,苏州弘磊光电有限公司,苏州,民营公司,1-1.5万/月,大专,2年经验,,,11月21日
435,002高级Java开发工程师,苏州禾塔科技有限公司,苏州,民营公司,1-1.5万/月,大专,2年经验,,,11月21日
436,Java开发工程师,绍兴环思智慧科技股份有限公司,青岛-市北区,上市公司,1.4-2万/月,大专,3-4年经验,500-1000人,通讯补贴 餐饮补贴 交通补贴 节日福利 带薪年假 弹性工作 定期体检 绩效奖金 五险一金 定期团建,11月21日
437,Java开发工程师-上海,杭州泰格医药科技股份有限公司,上海-浦东新区,合资,1-1.5万/月,本科,3-4年经验,5000-10000人,五险一金 补充医疗保险 餐饮补贴 定期体检 年终奖金,11月21日
438,Java开发工程师,铭凌（江苏）网络科技有限公司,昆山,民营公司,0.8-1万/月,本科,3-4年经验,少于50人,五险一金 餐饮补贴 绩效奖金 年终奖金 员工旅游,11月21日
439,JAVA开发工程师,云智（宁波）大数据产业运营服务有限公司,宁波-鄞州区,民营公司,0.5-1万/月,本科,3-4年经验,50-150人,五险一金 周末双休 节假日福利 弹性工作 定期体检 员工旅游,11月21日
440,002高级JAVA开发工程师,浙江至元数据科技有限公司,杭州,民营公司,1-1.5万/月,本科,2年经验,,,11月21日
441,Java开发工程师,上海众意信息科技有限公司,上海-静安区,民营公司,1.5-2万/月,大专,3-4年经验,150-500人,五险一金 餐饮补贴 员工旅游 交通补贴 年终奖金,11月21日
442,Java开发工程师,广东宏大欣电子科技有限公司,广州-越秀区,民营公司,0.8-1.4万/月,本科,3-4年经验,少于50人,五险一金 年终奖金 餐饮补贴 包住 出差补贴,11月21日
443,Java初级开发工程师,广州拓尔思大数据有限公司,广州-天河区,上市公司,0.7-1.3万/月,本科,1年经验,150-500人,五险一金 餐饮补贴 通讯补贴 年终奖金 交通补贴 员工旅游,11月21日
