职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
品牌专卖店店员,北京普铭威管理咨询中心顺义分中心,5-9千,北京·东城区,1年,大专,民营,,餐饮业,https://jobs.51job.com/beijing/148040103.html?s=sou_sou_soulb&t=0_0&req=17785abe5d2cfaa8ddd4cdf31a1c9fff,https://jobs.51job.com/all/coBGUCYlA1BTsGagZnUTU.html
应届生职位（数字化，编程，数据分析方向）,艾默生(北京)仪表有限公司,9千-1.3万·15薪,北京·大兴区,无需经验,本科,外资（欧美）,,,http://emerson.51job.com/recuit.html?jobid=148533068,http://emerson.51job.com/
行政客服,北京财恒通财务顾问有限公司,4-5.5千,北京·丰台区,无需经验,大专,民营,,会计/审计,https://jobs.51job.com/beijing/146713586.html?s=sou_sou_soulb&t=0_0&req=451823fdcd3e033bf1938de135e9d835,https://jobs.51job.com/all/coCGgHZ1E7UmQBZlM4AmI.html
双语数学教师,北京中加学校,8千-1.5万,北京·通州区,1年,本科,事业单位,150-500人,教育/培训/院校,https://jobs.51job.com/beijing/144915903.html?s=sou_sou_soulb&t=0_0&req=bd47216f80a5bcf9bee2662d88fb8407,https://jobs.51job.com/all/coBWBUN1U2AzhWMwxsBmY.html
资深/店铺销售—Masion Margiela—北京国贸,梅森马吉拉（上海）商业有限公司,1.5-2.5万·13薪,北京,3-4年,中技/中专,外资（欧美）,150-500人,贸易/进出口,https://jobs.51job.com/shanghai/148530729.html?s=sou_sou_soulb&t=0_0&req=ce1f8992881555f9a99c0f479ce06972,https://jobs.51job.com/all/coVjZWNlYxDjcGalE6XTA.html
审核会计,北京财恒通财务顾问有限公司,8千-1万,北京·丰台区,3-4年,本科,民营,,会计/审计,https://jobs.51job.com/beijing/141576651.html?s=sou_sou_soulb&t=0_0&req=4748f71e3827255d46731663ae604b0a,https://jobs.51job.com/all/coCGgHZ1E7UmQBZlM4AmI.html
国际贸易销售,北京拓伟环球经贸有限公司,6-8千·13薪,北京·通州区,2年,本科,民营,50-150人,汽车,https://jobs.51job.com/beijing/145033426.html?s=sou_sou_soulb&t=0_0&req=f33f3d8f56f62009f38098cc44d74f44,https://jobs.51job.com/all/coVDBRNwBiBTxUOQRlAmI.html
Amax集团：销售代表（北京）,Amaxchina北京办事处,7千-1.4万,北京·海淀区,1年,大专,外资（欧美）,150-500人,计算机硬件,https://jobs.51job.com/beijing/119135226.html?s=sou_sou_soulb&t=0_0&req=eadcc7dacb7ae55f40b4667b1b8a3664,https://jobs.51job.com/all/coUzBRMlIyAjhRMAxtBWM.html
库房文职订单,北京天隅互联科技有限公司,4-5千,北京·昌平区,1年,,民营,50-150人,电子技术/半导体/集成电路,https://jobs.51job.com/beijing/148552718.html?s=sou_sou_soulb&t=0_0&req=566f42e95716b24f6fa088d32ee2ad41,https://jobs.51job.com/all/coUjNVMlQ_AD4PawdtUTQ.html
分析化学工程师,中国科学院过程工程研究所生物质炼制工程北京市重点实验室,1.2-1.5万,北京·海淀区,2年,硕士,民营,50-150人,,https://jobs.51job.com/beijing/148088168.html?s=sou_sou_soulb&t=0_0&req=d54ec8ed8d80f9a79ad266134aad5fd6,https://jobs.51job.com/all/coA2MGYwBiVGsHYlY1XTw.html
技术工程师,北京竑芯科技有限公司,6千-1万,北京,无需经验,本科,民营,少于50人,电气/电力/水利,https://jobs.51job.com/tangshan/148564498.html?s=sou_sou_soulb&t=0_0&req=2736d723de42992b641bf73588f69d76,https://jobs.51job.com/all/coVjcBbVU0Bj5WOlM0VTc.html
