,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
834,软件工程师,上海时空奇点智能技术有限公司,10000.0,上海·青浦区,1年,本科,民营,少于50人,仪器仪表/工业自动化,https://jobs.51job.com/shanghai/143516868.html?s=sou_sou_soulb&t=0_0&req=381a1933faafd23b76cdce00296c9a3b,https://jobs.51job.com/all/coAmIBbVc3VmBWNAJpVjo.html
835,Linux C软件工程师,上海金电网安科技有限公司,10500.0,上海·浦东新区,1年,大专,民营,50-150人,计算机软件,https://jobs.51job.com/shanghai/134988471.html?s=sou_sou_soulb&t=0_0&req=f995c55ed90b559132acd36fe93d12c4,https://jobs.51job.com/all/coBmFVNlI2BDhSNAJh.html
836,海外销售专员,赛尔特建筑科技（广东）有限公司,8000.0,广州·番禺区,3-4年,大专,民营,150-500人,贸易/进出口,https://jobs.51job.com/guangzhou/144648706.html?s=sou_sou_soulb&t=0_0&req=ee3a354c33839f9eefa52b87bd8cfca2,https://jobs.51job.com/all/coUjZWNQBiDzAGYlYyAmA.html
837,Golang开发工程师,深圳奇屏科技有限公司,11500.0,深圳·福田区,1年,大专,民营,少于50人,计算机硬件,https://jobs.51job.com/shenzhen/146832691.html?s=sou_sou_soulb&t=0_0&req=5966e1db6b4ad8635ef1a3db2d312a6f,https://jobs.51job.com/all/coVDQAbVAwBTlUOANoVTY.html
838,无线业务开拓经理（ Wireless BD Manger）,"莱茵技术监护（深圳）有限公司 TUV Rheinland (Shenzhen) Co., Ltd.",18000.0,深圳,2年,本科,外资（欧美）,500-1000人,,http://tuvrheinland.51job.com/careers.html?jobid=147111756,http://tuvrheinland.51job.com/
839,高级前端开发工程师-直播-互娱研发,字节跳动,3750.0,广州,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/guangzhou/138318412.html?s=sou_sou_soulb&t=0_0&req=116fe9533e4c3b98c251bb83105e16d8,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
840,APM 接入侧组件工程师,字节跳动,4500.0,上海,3-4年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/131621088.html?s=sou_sou_soulb&t=0_0&req=e5f11c804a79ccf09ea3659214fc556e,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
841,海外商务（俄语）--E23-002(J13479),上海联影医疗科技股份有限公司,12500.0,上海·嘉定区,2年,本科,民营,5000-10000人,医疗设备/器械,https://jobs.51job.com/shanghai/146903858.html?s=sou_sou_soulb&t=0_0&req=c1feef190131cb2bffefb509593af9ec,https://jobs.51job.com/all/coB2MFZFM1VGoOaQJkBWg.html
842,资深后端开发工程师-LBA People Talent,字节跳动,10500.0,成都,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/chengdu/147161382.html?s=sou_sou_soulb&t=0_0&req=a79f527bc599788a4b3d64da752932ec,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
843,Siemens DI TI   Venture Building Expert(Beijing),西门子（中国）有限公司 - 工业业务领域,11500.0,北京,5-7年,,,,,https://jobs.51job.com/beijing/148106672.html?s=sou_sou_soulb&t=0_0&req=2ec112d07ed808f36fd7ebe676f96d39,https://jobs.51job.com/all/coUTVXOl41ATYEZgxtXT8.html
