,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
4181,直招c牌司机送果蔬小家电,聘聘车拼拼货（广州）供应链有限公司,10000.0,广州·黄埔区,1年,初中及以下,民营,少于50人,交通/运输/物流,https://jobs.51job.com/foshan/147918068.html?s=sou_sou_soulb&t=0_0&req=4697b3885987f9501f731f8be1d69f33,https://jobs.51job.com/all/coAmNTMwJoVWgPbwxvVjs.html
4182,C&B Specialist,法中轨道交通运输设备（上海）有限公司,13500.0,上海·宝山区,3-4年,本科,外资（欧美）,150-500人,,https://jobs.51job.com/shanghai/147884491.html?s=sou_sou_soulb&t=0_0&req=4697b3885987f9501f731f8be1d69f33,https://jobs.51job.com/all/coB2ZcOgRjBDoAbFA1UD0.html
4183,运营经理（C端用户运营）,广东星鼎通信科技有限公司,8500.0,广州·天河区,2年,本科,民营,少于50人,计算机软件,https://jobs.51job.com/guangzhou/148324752.html?s=sou_sou_soulb&t=0_0&req=4697b3885987f9501f731f8be1d69f33,https://jobs.51job.com/all/coUTEHYFA2AT9TPlc2AGQ.html
4184,高薪招聘C照司机，急需5名,苏州远途货运代理有限公司,15000.0,苏州,无需经验,,外资（欧美）,,计算机软件,https://jobs.51job.com/suzhou/147842308.html?s=sou_sou_soulb&t=0_0&req=1df5802a82670c3031fe10afd9dd02e7,https://jobs.51job.com/all/coUTBcPwdjBzpUNAxpUzU.html
4185,销售顾问（B/C端、双休近地铁）,寰才亚中国 GTG China,8750.0,广州·天河区,无需经验,大专,外资（欧美）,少于50人,专业服务(咨询、人力资源、财会),https://jobs.51job.com/guangzhou/136124843.html?s=sou_sou_soulb&t=0_0&req=fee65528e4fc3ab3522be55e39c50626,https://jobs.51job.com/all/coAGNdOV88ADdWMFY2BWU.html
4186,高级C/C++开发工程师-5118,瞬联软件科技（北京）有限公司 CIeNET Technologies,10150.0,南京·雨花台区,5-7年,本科,外资（欧美）,1000-5000人,,https://jobs.51job.com/nanjing/147701122.html?s=sou_sou_soulb&t=0_0&req=513b14b6fe04895bdbb28de3f27c20e0,https://jobs.51job.com/all/coA2RdOFIwDjEEYwBl.html
4187,c/c++开发工程师,上海宝宏软件有限公司,11000.0,上海·浦东新区,2年,本科,民营,150-500人,计算机软件,https://jobs.51job.com/shanghai/148315927.html?s=sou_sou_soulb&t=0_0&req=cfb2a756a04f1dc89c85edcb7ba2f8b1,https://jobs.51job.com/all/coBmIFaQRhUm1SNQNiXTk.html
4188,销售工程师（东莞 C&R）,华测检测认证集团股份有限公司,9000.0,东莞·松山湖区,1年,大专,已上市,10000人以上,,https://jobs.51job.com/dongguan/118952563.html?s=sou_sou_soulb&t=0_0&req=cfb2a756a04f1dc89c85edcb7ba2f8b1,https://jobs.51job.com/all/coVTICZ1UyVWtVMVE7XTA.html
4189,8500直招C证司机,摩顶新能源发展（云南）集团有限公司,10750.0,昆明·西山区,无需经验,,民营,50-150人,汽车,https://jobs.51job.com/kunming/145834430.html?s=sou_sou_soulb&t=0_0&req=cfb2a756a04f1dc89c85edcb7ba2f8b1,https://jobs.51job.com/all/coBWUBYVI3U2oHYAFhBmc.html
4190,高级前端工程师（电商-C端方向）,上海芮想信息科技有限公司,11750.0,深圳·南山区,3-4年,本科,民营,1000-5000人,计算机软件,https://jobs.51job.com/shenzhen/148382949.html?s=sou_sou_soulb&t=0_0&req=cfb2a756a04f1dc89c85edcb7ba2f8b1,https://jobs.51job.com/all/coB2RSNVA3AzlRPFY0XDE.html
