职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
Python/PHP后端程序员,上海萌果信息科技有限公司,1-1.5万,上海·徐汇区,3-4年,大专,民营,50-150人,互联网/电子商务,https://jobs.51job.com/shanghai/114897348.html?s=sou_sou_soulb&t=0_0&req=c054b467203e31fee361482b128649fe,https://jobs.51job.com/all/coAWQBZVQ_UWgDZQxuUTA.html
Python后端开发工程师,上海紊菀科技有限公司,1.1-1.8万,上海·静安区,3-4年,本科,民营,少于50人,电子技术/半导体/集成电路,https://jobs.51job.com/shanghai/146711719.html?s=sou_sou_soulb&t=0_0&req=4af593485d10d607367a5b54ff610f0e,https://jobs.51job.com/all/coAWAGYgBiAD9SMw1rXDk.html
后端Java开发工程师 （懂Python，大平台）,上海华腾软件系统有限公司,1.4-2万,深圳,5-7年,本科,已上市,500-1000人,,https://jobs.51job.com/shenzhen/147991491.html?s=sou_sou_soulb&t=0_0&req=e0b32bdad3dfed9b6931570f5e063f1b,https://jobs.51job.com/all/coCWwBbVMzVmlUM1MwB2A.html
Python,深圳创维光伏科技有限公司,1-1.8万·14薪,北京·朝阳区,2年,本科,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/shenzhen/147627452.html?s=sou_sou_soulb&t=0_0&req=74a3a61619b071eb8ee98168d039294d,https://jobs.51job.com/all/coCGgHYVQxU20FaAxoUTw.html
Python软件开发工程师,上海铭剑电子科技有限公司,1.5-3万·13薪,上海·闵行区,5-7年,本科,民营,50-150人,通信/电信/网络设备,https://jobs.51job.com/shanghai/146916373.html?s=sou_sou_soulb&t=0_0&req=36dbf2c57e3f5ba80c1b11ddc8289738,https://jobs.51job.com/all/coA2dRNl85AT8DYgZgXDs.html
Python开发工程师,点奇互联（北京）科技有限公司,8千-1.5万,北京·海淀区,1年,大专,民营,,电子技术/半导体/集成电路,https://jobs.51job.com/beijing/140831591.html?s=sou_sou_soulb&t=0_0&req=36dbf2c57e3f5ba80c1b11ddc8289738,https://jobs.51job.com/all/coUTBSNFI0AjxUMFA7AmA.html
Python爬虫开发工程师,数字金服（广东）科技服务有限公司,5-8千,广州·海珠区,2年,大专,民营,少于50人,互联网/电子商务,https://jobs.51job.com/guangzhou/146828062.html?s=sou_sou_soulb&t=0_0&req=4af593485d10d607367a5b54ff610f0e,https://jobs.51job.com/all/coAmJTMVQ-UW0AYAJhBWA.html
Python开发工程师,上海琻瑢信息科技有限公司,1-1.5万,上海·闵行区,2年,本科,民营,少于50人,金融/投资/证券,https://jobs.51job.com/shanghai/90194045.html?s=sou_sou_soulb&t=0_0&req=4af593485d10d607367a5b54ff610f0e,https://jobs.51job.com/all/coVTddOwdhVGpWMFAwXT4.html
Python后端开发工程师,上海深鱼赛跑科技有限公司,1.5-3万,上海·浦东新区,无需经验,本科,民营,少于50人,,https://jobs.51job.com/shanghai/147179063.html?s=sou_sou_soulb&t=0_0&req=b61431ec9d94e219d3de208eac3099d4,https://jobs.51job.com/all/coUTBVMlM2BDwAYwFrAm4.html
Python开发工程师,上海济体实业有限公司,20-30万/年,上海,3-4年,本科,民营,50-150人,多元化业务集团公司,https://jobs.51job.com/shanghai/125902383.html?s=sou_sou_soulb&t=0_0&req=b61431ec9d94e219d3de208eac3099d4,https://jobs.51job.com/all/coUTIGYFIwVm1TMQVkVTA.html
