,职位,公司,薪资,城市,经验,学历,公司性质,公司规模,公司领域,职位详情页,公司详情页
597,高级Java开发工程师,广州紫麦科技有限公司,8600.0,广州·黄埔区,5-7年,本科,民营,150-500人,互联网/电子商务,https://jobs.51job.com/guangzhou/145573464.html?s=sou_sou_soulb&t=0_0&req=e18c4ca4e86d245d72c020e137a412ec,https://jobs.51job.com/all/coAWRVMAJoVWlSPlY2AGE.html
598,智控硬、软件工程师,上海创新给水设备制造（集团）有限公司,9000.0,上海·宝山区,3-4年,本科,民营,150-500人,贸易/进出口,https://jobs.51job.com/shanghai/146648782.html?s=sou_sou_soulb&t=0_0&req=9e17a706f06a7ed61fbefef81848bc7b,https://jobs.51job.com/all/coUTNWMV4_DzIDb1YxBWk.html
599,数据处理和分析工程师,知羿信息科技（上海）有限公司,7200.0,上海,3-4年,本科,合资,少于50人,制药/生物工程,https://jobs.51job.com/shanghai/140609240.html?s=sou_sou_soulb&t=0_0&req=8457a6fa57d20daea2917f44faf2d880,https://jobs.51job.com/all/coVjNRNFcxVWwDZgZgUTY.html
600,资深后端研发工程师-电商供应链与物流,字节跳动,4000.0,上海,5-7年,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/shanghai/137780539.html?s=sou_sou_soulb&t=0_0&req=75539fdc41c10455c47abf17b238cb3b,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
601,后端研发工程师,字节跳动,4500.0,北京,无需经验,本科,民营,10000人以上,计算机软件,https://jobs.51job.com/beijing/136842324.html?s=sou_sou_soulb&t=0_0&req=ee10c7602b277e376299210d3019b8ee,https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html
602,Linux系统管理员,曼迪匹艾（北京）科技服务有限公司,12500.0,北京·通州区,2年,本科,民营,5000-10000人,学术/科研,https://jobs.51job.com/beijing/133306992.html?s=sou_sou_soulb&t=0_0&req=0634c71051c2454542fc589f402231e6,https://jobs.51job.com/all/coCW1WNQVmDzkEZQFmUDQ.html
603,技术支持工程师,上海收钱吧互联网科技股份有限公司,11500.0,上海·普陀区,2年,本科,民营,1000-5000人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/147050297.html?s=sou_sou_soulb&t=0_0&req=f5decf4297e82d2321a63ac91818c98c,https://jobs.51job.com/all/coUzZdOV44Um4PbQRgUzI.html
604,密码模块安全测评工程师（国际业务方向：英语）,深圳市纽创信安科技开发有限公司,8750.0,济南,3-4年,硕士,民营,50-150人,计算机服务(系统、数据服务、维修),https://jobs.51job.com/shanghai/147860635.html?s=sou_sou_soulb&t=0_1&req=878b036e8a82d2465719ef56fb22a6ee,https://jobs.51job.com/all/coUjdXNlIwAjQGZAVgUzU.html
605,PHP工程师,立达信物联科技股份有限公司,10400.0,深圳·南山区,3-4年,大专,民营,5000-10000人,家具/家电/玩具/礼品,https://jobs.51job.com/shenzhen/147526403.html?s=sou_sou_soulb&t=0_0&req=428cb94db9c85d43ba7baeb63c6c9238,https://jobs.51job.com/all/coCWsFYAJoUm1VNgNhBWE.html
606,建站工程师（7-12k),成都西电网络安全研究院,9500.0,成都·天府新区,1年,本科,民营,,通信/电信/网络设备,https://jobs.51job.com/chengdu/148091342.html?s=sou_sou_soulb&t=0_0&req=1006545ed1b7f68d75caa7cee4a82e2b,https://jobs.51job.com/all/coVDUCYwdlDzEAbQ1nBmc.html
